|poz|,|3000. Gol Ankara'ya kaldý deðil mi Himmet aðabey :) #Beþiktaþ|
|poz|,|Günün en güzel haberi: CHP Ýskenderun Gençlik Kollarý Baþkaný, #BJK li kardeþim Mehmet Yeþilmen hastalýðýný yendi :)|
|poz|,|#MutluluðunFormülü Futbol Oynamak :D @BurimiRKS|
|poz|,| Fb bana 20.000 teklif ettiðinde ben GS ile 8.000'e anlaþtýðým için mutluluktan uçuyordum, Metin Oktay. Özlüyoruz...|
|poz|,|JurnalSpor, Reus Reyiz, Naptýn Sen ya ??  http://t.co/usTv1cEsxN|
|poz|,|Arena öncesi yuvayý ziyaret (@ Üsküdar GS Store - @uskudargsstore) https://t.co/zknmHt1n6i http://t.co/wJORP9MtPG|
|poz|,|Fenerbahçe gs dan  üstündür http://t.co/s6nlgcxA01|
|poz|,|@GS_Reho asýl senin yüreðine saðlýk güzelim|
|poz|,|Bugün gülerden GALATASARAY! #KoyEliniKalbine http://t.co/CwdKgNsWFR|
|poz|,|@GS_Reho Bende Allaha þükür Iyim GALATASARAY maçý var iþte bugün yani :-D:-D|
|poz|,|@asporcomtr @cigdemceylannn Melonun eksikliði arenada oynanacak Gs-FB ve Gs-Bjk belli olur.derbilerde takýmýn saha icindeki gizli patronuydu|
|poz|,|@alimemrahcelik gs yener mersini bjk de yener basaksehiri|
|poz|,|Rýdvan Dilmen : Beþiktaþ'dan ilk golü yiyen, defans yapsa olmuyor, hücüm yapsa olmuyor. Yani ne yapsa olmuyor.:::::::::::)))))|
|poz|,|Fenerbahçe'nin en büyük düþmaný kýz arkadaþtýr. Yok maça gitme ne çok maça gidiyorsun onu sevdiðin kadar beni sevmiyorsun ve ayrýlýk . |
|poz|,|Ligin En Zevkli Maçlarý BEÞÝKTAÞ Maçlarý|
|poz|,|Beþiktaþ'ýn Gollerini Sayýnca Ben 2998 :) Temsili :)|
|poz|,|Seni niye her halinle seveyim ki ? Sen Fenerbahçe misin?|
|poz|,|Bizi görmezden gelip fotoðraflarýmýzý paylaþmasanýz da olur. Seviyoruz iþte var mý diyeceðin|
|poz|,|Bu haftasonu Galatasaray'ýn maçýnýn olmasý seni mutlu ediyorsa , sende gerçek Galatasaraylýsýn|
|poz|,|Þiir Gibi Top Oynuyorsun Be Oðuzhan|
|poz|,|Helal Olsun be Kartalým Sana Oðuzhan|
|poz|,|Okul hayatýný,iþ hayatýný,aþk hayatýný Trabzonspor'un maçlarýna göre planlayan,ona göre yaþayan ve endeksleyen insanlar candýr|
|poz|,|Yaþasýn Galatasaray'ý menfaatsiz seven ruh hastalarý, iyi geceler|
|poz|,|Ýþimiz gücümüz futbol ne böreði?!|
|poz|,|@damla671 bebeklikten beri fenerbahçe aþký|
|poz|,|Ýþte bu yüzden Anadolu, Ýþte bu yüzden TRABZONSPOR|
|poz|,|Þereftir seni sevmek Senle aðlayýp gülmek Galatasaray sevgisi Sürecek sonsuza dek.. Baþarýlar GALATASARAYIM :) #BugünGünlerdenGALATASARAY|
|poz|,|#BugünGünlerdenGALATASARAY bir FENERBAHÇELÝ olarak yabancý takýmlara karþý yanýnýzdayým çünkü ben bir TÜRK'üm baþarýlar Galatasaray ...|
|poz|,|Juventus maçýný izlemek için okuldan kaçan insaným Bizim GALATASARAY için yapamayacaðýmýz fedakârlýk yok|
